RegionID,Zipcode,City,State,Metro,CountyName,Year,1Yr-Perc-Chg,lat,lon
97711,94501,Alameda,CA,San Francisco-Oakland-Hayward,Alameda County,2011,1.170411985,37.773793,-122.27811499999999
97711,94501,Alameda,CA,San Francisco-Oakland-Hayward,Alameda County,2012,3.285515965,37.773793,-122.27811499999999
97711,94501,Alameda,CA,San Francisco-Oakland-Hayward,Alameda County,2013,3.3602150539999998,37.773793,-122.27811499999999
97711,94501,Alameda,CA,San Francisco-Oakland-Hayward,Alameda County,2014,23.66710013,37.773793,-122.27811499999999
97711,94501,Alameda,CA,San Francisco-Oakland-Hayward,Alameda County,2015,17.56046267,37.773793,-122.27811499999999
97711,94501,Alameda,CA,San Francisco-Oakland-Hayward,Alameda County,2016,-3.13059034,37.773793,-122.27811499999999
97711,94501,Alameda,CA,San Francisco-Oakland-Hayward,Alameda County,2017,2.862419206,37.773793,-122.27811499999999
97711,94501,Alameda,CA,San Francisco-Oakland-Hayward,Alameda County,2018,-2.034709755,37.773793,-122.27811499999999
97743,94536,Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,2011,-3.430924062,37.570508000000004,-121.98125
97743,94536,Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,2012,7.247749882000001,37.570508000000004,-121.98125
97743,94536,Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,2013,4.991166078,37.570508000000004,-121.98125
97743,94536,Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,2014,11.61127472,37.570508000000004,-121.98125
97743,94536,Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,2015,13.26799849,37.570508000000004,-121.98125
97743,94536,Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,2016,3.06156406,37.570508000000004,-121.98125
97743,94536,Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,2017,1.808201485,37.570508000000004,-121.98125
97743,94536,Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,2018,-1.458928005,37.570508000000004,-121.98125
